MET_pt,MET_phi,MET_covXX,MET_covYY,MET_covXY,Muon_pt,Muon_eta,Muon_phi,Jet_pt,Jet_eta,Jet_phi,Jet_mass,Jet_btagDeepB
113.75317,-1.1123047,361.0,466.0,-103.75,5.484865665435791,-1.33251953125,1.86572265625,112.0,-1.218505859375,1.975341796875,17.265625,0.9853515625
59.186134,1.1835938,700.0,510.0,13.9375,15.400029182434082,1.354248046875,1.413818359375,62.9375,0.656494140625,-0.080078125,11.15625,0.08428955078125
46.313446,1.3303223,468.0,422.0,61.625,33.049015045166016,0.223358154296875,-2.98681640625,73.25,-0.6925048828125,0.6070556640625,12.7890625,0.90576171875
46.131493,-0.23745728,489.0,614.0,-17.3125,3.107160806655884,1.565185546875,1.310546875,98.125,1.44775390625,-2.05322265625,11.40625,0.382080078125
72.52966,3.0180664,686.0,776.0,5.109375,3.5017974376678467,-0.3951416015625,-2.6484375,84.875,1.220947265625,1.014892578125,16.921875,0.01268768310546875
84.41157,2.899414,427.0,427.0,0.0,26.96311378479004,-0.9251708984375,0.56103515625,60.75,-0.0597686767578125,-0.201324462890625,9.78125,0.99609375
105.23651,2.2646484,622.0,734.0,9.15625,4.634705066680908,-1.21728515625,-1.330078125,69.5,-3.4306640625,-1.8974609375,13.515625,-1.0
140.27324,1.6447754,280.0,482.0,-14.96875,20.103572845458984,-1.06298828125,-2.1953125,102.5,1.302490234375,-1.53857421875,10.21875,0.99365234375
110.30504,2.9980469,441.0,303.0,-58.375,6.765652179718018,-1.699951171875,1.435302734375,81.5625,-0.5711669921875,0.012615203857421875,10.6015625,0.1270751953125
133.87653,2.4360352,622.0,526.0,-14.3125,3.4611129760742188,-1.224365234375,0.5421142578125,65.8125,-0.54345703125,-0.9315185546875,13.0078125,0.78857421875
26.431053,1.8242188,216.0,308.0,-60.5,24.972047805786133,0.14190673828125,0.84375,73.5625,-0.075714111328125,2.228515625,12.90625,0.77392578125
43.189873,-0.18911743,491.0,616.0,109.75,5.847019672393799,0.83203125,-0.6339111328125,152.375,2.77783203125,1.72509765625,7.68359375,-1.0
74.99955,2.459961,570.0,534.0,5.453125,12.749642372131348,0.46771240234375,-2.35693359375,75.3125,0.088592529296875,-0.1048583984375,10.2421875,0.9990234375
43.488373,-2.3735352,720.0,436.0,48.5,19.210067749023438,-0.9136962890625,1.014892578125,118.8125,0.5087890625,0.23779296875,10.5390625,0.99169921875
170.58092,0.8444824,604.0,522.0,2.6328125,10.746928215026855,-2.08935546875,3.06884765625,137.375,0.528564453125,-1.95556640625,21.046875,0.356689453125
102.39675,-2.1899414,435.0,476.0,-14.625,4.858597755432129,0.4266357421875,1.620361328125,95.0625,-1.557861328125,1.3740234375,14.875,0.08026123046875
104.74374,2.1625977,306.0,208.5,32.625,25.840600967407227,0.7906494140625,-2.7470703125,94.375,1.254638671875,-0.748779296875,11.734375,0.053955078125
45.358803,-0.36779785,379.0,373.0,11.9375,8.594935417175293,0.0888214111328125,-1.219970703125,85.5625,-0.483154296875,-1.9541015625,13.1171875,0.439453125
80.36538,0.635376,668.0,610.0,40.375,12.317046165466309,1.311279296875,-0.7255859375,75.125,0.6761474609375,-2.302734375,11.40625,0.01256561279296875
24.683275,-0.8972168,292.0,329.0,2.140625,6.13748836517334,-0.2177734375,-1.188232421875,94.3125,0.11083984375,1.449951171875,11.8359375,0.62548828125
103.16474,0.9890137,550.0,788.0,-2.53125,4.164194583892822,1.2783203125,-2.06787109375,57.0625,2.234375,-2.89453125,9.265625,0.1627197265625
98.40888,-0.6218262,682.0,548.0,-24.0,20.870601654052734,0.9163818359375,-2.81005859375,94.4375,-0.05915069580078125,2.54736328125,14.203125,0.187255859375
167.13565,1.2658691,232.0,337.0,-27.75,11.568864822387695,0.867919921875,-2.04150390625,85.25,0.59228515625,-1.92626953125,13.328125,0.052032470703125
74.96582,0.11152649,411.0,424.0,35.0,4.143237113952637,1.61669921875,2.52001953125,81.0,1.7060546875,2.78076171875,8.640625,0.86962890625
116.867744,1.628418,254.0,618.0,-34.25,26.52254295349121,0.0856781005859375,2.31396484375,159.125,-0.3587646484375,-1.477783203125,15.984375,0.5341796875
50.91396,1.6992188,548.0,511.0,-5.25,84.61986541748047,1.504150390625,1.14306640625,119.25,-0.6497802734375,-2.07861328125,13.1328125,0.98779296875
105.662735,2.461914,864.0,626.0,-186.5,22.06715202331543,-0.849609375,2.912109375,135.0,0.27117919921875,-0.586669921875,17.265625,0.1055908203125
97.17056,2.4882812,532.0,487.0,-35.375,19.793649673461914,0.95751953125,-2.42919921875,60.84375,1.928955078125,1.134033203125,14.84375,0.1014404296875
63.363308,2.8496094,469.0,592.0,13.40625,10.569663047790527,1.97607421875,-0.4871826171875,88.125,1.921142578125,-0.486328125,9.90625,0.8408203125
69.09106,0.9057617,638.0,570.0,184.5,6.217226982116699,-1.098876953125,-2.677734375,155.0,0.430419921875,0.6060791015625,16.78125,0.98681640625
